,attentive,while_doing_other,while_taking_notes,with_other_people,other,What's your preferred way of listening to On Being?
561,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
562,NA,NA,NA,NA,walking the dogs in the early morning,walking the dogs in the early morning
563,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
564,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
565,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
566,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
567,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
568,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
569,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
570,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
571,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
572,NA,NA,NA,NA,NA,NA
573,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
574,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
575,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
576,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
577,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
578,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
579,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
580,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
581,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
582,NA,NA,NA,NA,NA,NA
583,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
584,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
585,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
586,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
587,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
588,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
589,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
590,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
591,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
592,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)",NA,NA,NA,"I listen while I'm doing other activities (for example, making art, cleaning, commuting, working out, at work)"
593,"I attentively listen to the show, without distractions",NA,NA,NA,NA,"I attentively listen to the show, without distractions"
